word,protection,source,activity,runtimePoolType,runtimePool,studyMode,runtimePattern,runtimeFlight,runtimeVocabLevel,cleanupDisposition,viableWordsRemaining,viableWordList,destination
exhale,check-transfer,script.js,Learn,target-example-pool,Learn · prefixes · Flight B · target:e-ex · vocab:familiar,prefixes,,B,familiar,LEARN_CARD_REMAINS_AVAILABLE_EXAMPLE_COVERAGE_EMPTY,0,,Flight B Digital Learn
export,migration-challenge,script.js,Learn,target-example-pool,Learn · prefixes · Flight B · target:e-ex · vocab:familiar,prefixes,,B,familiar,LEARN_CARD_REMAINS_AVAILABLE_EXAMPLE_COVERAGE_EMPTY,0,,Flight B Digital Learn
import,formal-pre-post,script.js,Learn,target-example-pool,Learn · prefixes · Flight B · target:location-in-family · vocab:academic,prefixes,,B,academic,POOL_REMAINS_VIABLE_AFTER_PROTECTED_REMOVAL,3,immerse | inbound | insert,Flight B Digital Learn
inactive,formal-pre-post,script.js,Learn,target-example-pool,Learn · prefixes · Flight B · target:negative-in-family · vocab:academic,prefixes,,B,academic,PROTECTED_REMOVAL_LEAVES_ONE_VIABLE_WORD,1,irregular,Flight B Digital Learn
impossible,formal-pre-post,script.js,Learn,target-example-pool,Learn · prefixes · Flight B · target:negative-in-family · vocab:familiar,prefixes,,B,familiar,PROTECTED_REMOVAL_LEAVES_ONE_VIABLE_WORD,1,illegal,Flight B Digital Learn
semicircle,migration-challenge,script.js,Learn,target-example-pool,Learn · prefixes · Flight B · target:semi · vocab:familiar,prefixes,,B,familiar,LEARN_CARD_REMAINS_AVAILABLE_EXAMPLE_COVERAGE_EMPTY,0,,Flight B Digital Learn
transport,formal-pre-post,script.js,Learn,target-example-pool,Learn · prefixes · Flight B · target:trans · vocab:familiar,prefixes,,B,familiar,PROTECTED_REMOVAL_LEAVES_ONE_VIABLE_WORD,1,transfer,Flight B Digital Learn
abduct,formal-pre-post,script.js,Learn,target-example-pool,Learn · prefixes · Flight C · target:ab · vocab:academic,prefixes,,C,academic,LEARN_CARD_REMAINS_AVAILABLE_EXAMPLE_COVERAGE_EMPTY,0,,Flight C Digital Learn
abnormal,migration-challenge,script.js,Learn,target-example-pool,Learn · prefixes · Flight C · target:ab · vocab:academic,prefixes,,C,academic,LEARN_CARD_REMAINS_AVAILABLE_EXAMPLE_COVERAGE_EMPTY,0,,Flight C Digital Learn
retroactive,migration-challenge,script.js,Learn,target-example-pool,Learn · prefixes · Flight C · target:retro · vocab:academic,prefixes,,C,academic,LEARN_CARD_REMAINS_AVAILABLE_EXAMPLE_COVERAGE_EMPTY,0,,Flight C Digital Learn
retrospective,formal-pre-post,script.js,Learn,target-example-pool,Learn · prefixes · Flight C · target:retro · vocab:challenge,prefixes,,C,challenge,PROTECTED_REMOVAL_LEAVES_ONE_VIABLE_WORD,1,retrofit,Flight C Digital Learn
inactive,formal-pre-post,script.js,Learn,target-example-pool,Learn · roots · Flight B · target:act · vocab:academic,roots,,B,academic,LEARN_CARD_REMAINS_AVAILABLE_EXAMPLE_COVERAGE_EMPTY,0,,Flight B Digital Learn
biology,migration-challenge,script.js,Learn,target-example-pool,Learn · roots · Flight B · target:bio · vocab:academic,roots,,B,academic,POOL_REMAINS_VIABLE_AFTER_PROTECTED_REMOVAL,2,biodegradable | biography,Flight B Digital Learn
thermometer,migration-challenge,script.js,Learn,target-example-pool,Learn · roots · Flight B · target:metr · vocab:academic,roots,,B,academic,POOL_REMAINS_VIABLE_AFTER_PROTECTED_REMOVAL,2,diameter | metric,Flight B Digital Learn
import,formal-pre-post,script.js,Learn,target-example-pool,Learn · roots · Flight B · target:port · vocab:academic,roots,,B,academic,LEARN_CARD_REMAINS_AVAILABLE_EXAMPLE_COVERAGE_EMPTY,0,,Flight B Digital Learn
portable,migration-challenge,script.js,Learn,target-example-pool,Learn · roots · Flight B · target:port · vocab:familiar,roots,,B,familiar,PROTECTED_REMOVAL_LEAVES_ONE_VIABLE_WORD,1,porter,Flight B Digital Learn
transport,formal-pre-post,script.js,Learn,target-example-pool,Learn · roots · Flight B · target:port · vocab:familiar,roots,,B,familiar,PROTECTED_REMOVAL_LEAVES_ONE_VIABLE_WORD,1,porter,Flight B Digital Learn
disrupt,formal-pre-post,script.js,Learn,target-example-pool,Learn · roots · Flight B · target:rupt · vocab:academic,roots,,B,academic,PROTECTED_REMOVAL_LEAVES_ONE_VIABLE_WORD,1,rupture,Flight B Digital Learn
interrupt,formal-pre-post,script.js,Learn,target-example-pool,Learn · roots · Flight B · target:rupt · vocab:academic,roots,,B,academic,PROTECTED_REMOVAL_LEAVES_ONE_VIABLE_WORD,1,rupture,Flight B Digital Learn
manuscript,migration-challenge,script.js,Learn,target-example-pool,Learn · roots · Flight B · target:scrib · vocab:academic,roots,,B,academic,PROTECTED_REMOVAL_LEAVES_ONE_VIABLE_WORD,1,scripted,Flight B Digital Learn
inspect,formal-pre-post,script.js,Learn,target-example-pool,Learn · roots · Flight B · target:spect · vocab:academic,roots,,B,academic,PROTECTED_REMOVAL_LEAVES_ONE_VIABLE_WORD,1,perspective,Flight B Digital Learn
inspector,formal-pre-post,script.js,Learn,target-example-pool,Learn · roots · Flight B · target:spect · vocab:academic,roots,,B,academic,PROTECTED_REMOVAL_LEAVES_ONE_VIABLE_WORD,1,perspective,Flight B Digital Learn
spectator,formal-pre-post,script.js,Learn,target-example-pool,Learn · roots · Flight B · target:spect · vocab:academic,roots,,B,academic,PROTECTED_REMOVAL_LEAVES_ONE_VIABLE_WORD,1,perspective,Flight B Digital Learn
thermometer,migration-challenge,script.js,Learn,target-example-pool,Learn · roots · Flight B · target:therm · vocab:academic,roots,,B,academic,POOL_REMAINS_VIABLE_AFTER_PROTECTED_REMOVAL,2,geothermal | thermal,Flight B Digital Learn
visible,migration-challenge,script.js,Learn,target-example-pool,Learn · roots · Flight B · target:vis · vocab:familiar,roots,,B,familiar,POOL_REMAINS_VIABLE_AFTER_PROTECTED_REMOVAL,2,video | vision,Flight B Digital Learn
audible,formal-pre-post,script.js,Learn,target-example-pool,Learn · roots · Flight C · target:aud · vocab:academic,roots,,C,academic,LEARN_CARD_REMAINS_AVAILABLE_EXAMPLE_COVERAGE_EMPTY,0,,Flight C Digital Learn
chronology,formal-pre-post,script.js,Learn,target-example-pool,Learn · roots · Flight C · target:chron · vocab:academic,roots,,C,academic,POOL_REMAINS_VIABLE_AFTER_PROTECTED_REMOVAL,2,chronological | synchronize,Flight C Digital Learn
produce,formal-pre-post,script.js,Learn,target-example-pool,Learn · roots · Flight C · target:duct · vocab:familiar,roots,,C,familiar,POOL_REMAINS_VIABLE_AFTER_PROTECTED_REMOVAL,2,conduct | introduce,Flight C Digital Learn
eject,formal-pre-post,script.js,Learn,target-example-pool,Learn · roots · Flight C · target:ject · vocab:academic,roots,,C,academic,LEARN_CARD_REMAINS_AVAILABLE_EXAMPLE_COVERAGE_EMPTY,0,,Flight C Digital Learn
reject,formal-pre-post,script.js,Learn,target-example-pool,Learn · roots · Flight C · target:ject · vocab:academic,roots,,C,academic,LEARN_CARD_REMAINS_AVAILABLE_EXAMPLE_COVERAGE_EMPTY,0,,Flight C Digital Learn
emit,formal-pre-post,script.js,Learn,target-example-pool,Learn · roots · Flight C · target:mit · vocab:academic,roots,,C,academic,PROTECTED_REMOVAL_LEAVES_ONE_VIABLE_WORD,1,submit,Flight C Digital Learn
transmit,formal-pre-post,script.js,Learn,target-example-pool,Learn · roots · Flight C · target:mit · vocab:academic,roots,,C,academic,PROTECTED_REMOVAL_LEAVES_ONE_VIABLE_WORD,1,submit,Flight C Digital Learn
subsequent,migration-challenge,script.js,Learn,target-example-pool,Learn · roots · Flight C · target:sequ · vocab:academic,roots,,C,academic,POOL_REMAINS_VIABLE_AFTER_PROTECTED_REMOVAL,2,consequence | sequence,Flight C Digital Learn
evaluate,migration-challenge,script.js,Learn,target-example-pool,Learn · roots · Flight C · target:val · vocab:academic,roots,,C,academic,PROTECTED_REMOVAL_LEAVES_ONE_VIABLE_WORD,1,valid,Flight C Digital Learn
intervene,migration-challenge,script.js,Learn,target-example-pool,Learn · roots · Flight C · target:ven · vocab:academic,roots,,C,academic,PROTECTED_REMOVAL_LEAVES_ONE_VIABLE_WORD,1,convention,Flight C Digital Learn
portable,migration-challenge,script.js,Learn,target-example-pool,Learn · suffixes · Flight A · target:able-ible · vocab:familiar,suffixes,,A,familiar,LEARN_CARD_REMAINS_AVAILABLE_EXAMPLE_COVERAGE_EMPTY,0,,Flight A Digital Learn
readable,migration-challenge,script.js,Learn,target-example-pool,Learn · suffixes · Flight A · target:able-ible · vocab:familiar,suffixes,,A,familiar,LEARN_CARD_REMAINS_AVAILABLE_EXAMPLE_COVERAGE_EMPTY,0,,Flight A Digital Learn
visible,migration-challenge,script.js,Learn,target-example-pool,Learn · suffixes · Flight A · target:able-ible · vocab:familiar,suffixes,,A,familiar,LEARN_CARD_REMAINS_AVAILABLE_EXAMPLE_COVERAGE_EMPTY,0,,Flight A Digital Learn
inspector,formal-pre-post,script.js,Learn,target-example-pool,Learn · suffixes · Flight A · target:er-or · vocab:academic,suffixes,,A,academic,LEARN_CARD_REMAINS_AVAILABLE_EXAMPLE_COVERAGE_EMPTY,0,,Flight A Digital Learn
teacher,formal-pre-post,script.js,Learn,target-example-pool,Learn · suffixes · Flight A · target:er-or · vocab:familiar,suffixes,,A,familiar,PROTECTED_REMOVAL_LEAVES_ONE_VIABLE_WORD,1,writer,Flight A Digital Learn
helpful,formal-pre-post,script.js,Learn,target-example-pool,Learn · suffixes · Flight A · target:ful · vocab:familiar,suffixes,,A,familiar,PROTECTED_REMOVAL_LEAVES_ONE_VIABLE_WORD,1,careful,Flight A Digital Learn
hopeful,formal-pre-post,script.js,Learn,target-example-pool,Learn · suffixes · Flight A · target:ful · vocab:familiar,suffixes,,A,familiar,PROTECTED_REMOVAL_LEAVES_ONE_VIABLE_WORD,1,careful,Flight A Digital Learn
construction,formal-pre-post,script.js,Learn,target-example-pool,Learn · suffixes · Flight A · target:ion · vocab:academic,suffixes,,A,academic,PROTECTED_REMOVAL_LEAVES_ONE_VIABLE_WORD,1,decision,Flight A Digital Learn
careless,formal-pre-post,script.js,Learn,target-example-pool,Learn · suffixes · Flight A · target:less · vocab:familiar,suffixes,,A,familiar,LEARN_CARD_REMAINS_AVAILABLE_EXAMPLE_COVERAGE_EMPTY,0,,Flight A Digital Learn
fearless,migration-challenge,script.js,Learn,target-example-pool,Learn · suffixes · Flight A · target:less · vocab:familiar,suffixes,,A,familiar,LEARN_CARD_REMAINS_AVAILABLE_EXAMPLE_COVERAGE_EMPTY,0,,Flight A Digital Learn
hopeless,formal-pre-post,script.js,Learn,target-example-pool,Learn · suffixes · Flight A · target:less · vocab:familiar,suffixes,,A,familiar,LEARN_CARD_REMAINS_AVAILABLE_EXAMPLE_COVERAGE_EMPTY,0,,Flight A Digital Learn
kindness,migration-challenge,script.js,Learn,target-example-pool,Learn · suffixes · Flight A · target:ness · vocab:familiar,suffixes,,A,familiar,POOL_REMAINS_VIABLE_AFTER_PROTECTED_REMOVAL,2,darkness | happiness,Flight A Digital Learn
poetic,migration-challenge,script.js,Learn,target-example-pool,Learn · suffixes · Flight B · target:ic · vocab:academic,suffixes,,B,academic,POOL_REMAINS_VIABLE_AFTER_PROTECTED_REMOVAL,2,historic | scientific,Flight B Digital Learn
modernize,migration-challenge,script.js,Learn,target-example-pool,Learn · suffixes · Flight B · target:ize · vocab:academic,suffixes,,B,academic,LEARN_CARD_REMAINS_AVAILABLE_EXAMPLE_COVERAGE_EMPTY,0,,Flight B Digital Learn
biology,migration-challenge,script.js,Learn,target-example-pool,Learn · suffixes · Flight B · target:ology · vocab:academic,suffixes,,B,academic,POOL_REMAINS_VIABLE_AFTER_PROTECTED_REMOVAL,2,geology | psychology,Flight B Digital Learn
acceptance,migration-challenge,script.js,Learn,target-example-pool,Learn · suffixes · Flight C · target:ance · vocab:academic,suffixes,,C,academic,POOL_REMAINS_VIABLE_AFTER_PROTECTED_REMOVAL,2,importance | performance,Flight C Digital Learn
dependent,migration-challenge,script.js,Learn,target-example-pool,Learn · suffixes · Flight C · target:ant-ent-adjective · vocab:academic,suffixes,,C,academic,PROTECTED_REMOVAL_LEAVES_ONE_VIABLE_WORD,1,resistant,Flight C Digital Learn
assistant,formal-pre-post,script.js,Learn,target-example-pool,Learn · suffixes · Flight C · target:ant-ent-agent · vocab:familiar,suffixes,,C,familiar,LEARN_CARD_REMAINS_AVAILABLE_EXAMPLE_COVERAGE_EMPTY,0,,Flight C Digital Learn
careless,formal-pre-post,use-it.js,Use It,build-derived-sentence-pool,Use It · not-in-active-build-pool · Flight A · vocab:familiar,combinations,not-in-active-build-pool,A,familiar,REMOVE_OR_ARCHIVE_INACTIVE_SOURCE,0,,Flight A Digital Use It
disruptive,check-transfer,use-it.js,Use It,build-derived-sentence-pool,Use It · not-in-active-build-pool · Flight B · vocab:unspecified,combinations,not-in-active-build-pool,B,unspecified,REMOVE_OR_ARCHIVE_INACTIVE_SOURCE,0,,Flight B Digital Use It
construction,formal-pre-post,use-it.js,Use It,build-derived-sentence-pool,Use It · not-in-active-build-pool · Flight C · vocab:academic,combinations,not-in-active-build-pool,C,academic,REMOVE_OR_ARCHIVE_INACTIVE_SOURCE,0,,Flight C Digital Use It
dependent,migration-challenge,use-it.js,Use It,build-derived-sentence-pool,Use It · not-in-active-build-pool · Flight C · vocab:academic,combinations,not-in-active-build-pool,C,academic,REMOVE_OR_ARCHIVE_INACTIVE_SOURCE,0,,Flight C Digital Use It
import,formal-pre-post,use-it.js,Use It,build-derived-sentence-pool,Use It · prefix+root · Flight B · vocab:academic,combinations,prefix+root,B,academic,PROTECTED_REMOVAL_LEAVES_ONE_VIABLE_WORD,1,construct,Flight B Digital Use It
interrupt,formal-pre-post,use-it.js,Use It,build-derived-sentence-pool,Use It · prefix+root · Flight B · vocab:academic,combinations,prefix+root,B,academic,PROTECTED_REMOVAL_LEAVES_ONE_VIABLE_WORD,1,construct,Flight B Digital Use It
emit,formal-pre-post,use-it.js,Use It,build-derived-sentence-pool,Use It · prefix+root · Flight C · vocab:academic,combinations,prefix+root,C,academic,PROTECTED_REMOVAL_LEAVES_ONE_VIABLE_WORD,1,convert,Flight C Digital Use It
reject,formal-pre-post,use-it.js,Use It,build-derived-sentence-pool,Use It · prefix+root · Flight C · vocab:academic,combinations,prefix+root,C,academic,PROTECTED_REMOVAL_LEAVES_ONE_VIABLE_WORD,1,convert,Flight C Digital Use It
transmit,formal-pre-post,use-it.js,Use It,build-derived-sentence-pool,Use It · prefix+root · Flight C · vocab:academic,combinations,prefix+root,C,academic,PROTECTED_REMOVAL_LEAVES_ONE_VIABLE_WORD,1,convert,Flight C Digital Use It
inactive,formal-pre-post,use-it.js,Use It,build-derived-sentence-pool,Use It · prefix+root+suffix · Flight B · vocab:academic,combinations,prefix+root+suffix,B,academic,PROTECTED_REMOVAL_LEAVES_ONE_VIABLE_WORD,1,nonverbal,Flight B Digital Use It
inspector,formal-pre-post,use-it.js,Use It,build-derived-sentence-pool,Use It · prefix+root+suffix · Flight B · vocab:academic,combinations,prefix+root+suffix,B,academic,PROTECTED_REMOVAL_LEAVES_ONE_VIABLE_WORD,1,nonverbal,Flight B Digital Use It
helpful,formal-pre-post,use-it.js,Use It,build-derived-sentence-pool,Use It · root+suffix · Flight A · vocab:familiar,combinations,root+suffix,A,familiar,POOL_REMAINS_VIABLE_AFTER_PROTECTED_REMOVAL,7,books | boxes | fastest | jumped | jumping | quickly | taller,Flight A Digital Use It
hopeless,formal-pre-post,use-it.js,Use It,build-derived-sentence-pool,Use It · root+suffix · Flight A · vocab:familiar,combinations,root+suffix,A,familiar,POOL_REMAINS_VIABLE_AFTER_PROTECTED_REMOVAL,7,books | boxes | fastest | jumped | jumping | quickly | taller,Flight A Digital Use It
kindness,migration-challenge,use-it.js,Use It,build-derived-sentence-pool,Use It · root+suffix · Flight A · vocab:familiar,combinations,root+suffix,A,familiar,POOL_REMAINS_VIABLE_AFTER_PROTECTED_REMOVAL,7,books | boxes | fastest | jumped | jumping | quickly | taller,Flight A Digital Use It
readable,migration-challenge,use-it.js,Use It,build-derived-sentence-pool,Use It · root+suffix · Flight A · vocab:familiar,combinations,root+suffix,A,familiar,POOL_REMAINS_VIABLE_AFTER_PROTECTED_REMOVAL,7,books | boxes | fastest | jumped | jumping | quickly | taller,Flight A Digital Use It
teacher,formal-pre-post,use-it.js,Use It,build-derived-sentence-pool,Use It · root+suffix · Flight A · vocab:familiar,combinations,root+suffix,A,familiar,POOL_REMAINS_VIABLE_AFTER_PROTECTED_REMOVAL,7,books | boxes | fastest | jumped | jumping | quickly | taller,Flight A Digital Use It
classify,migration-challenge,use-it.js,Use It,build-derived-sentence-pool,Use It · root+suffix · Flight B · vocab:academic,combinations,root+suffix,B,academic,PROTECTED_REMOVAL_LEAVES_ONE_VIABLE_WORD,1,scripted,Flight B Digital Use It
inspector,formal-pre-post,use-it.js,Use It,build-derived-sentence-pool,Use It · root+suffix · Flight B · vocab:academic,combinations,root+suffix,B,academic,PROTECTED_REMOVAL_LEAVES_ONE_VIABLE_WORD,1,scripted,Flight B Digital Use It
modernize,migration-challenge,use-it.js,Use It,build-derived-sentence-pool,Use It · root+suffix · Flight B · vocab:academic,combinations,root+suffix,B,academic,PROTECTED_REMOVAL_LEAVES_ONE_VIABLE_WORD,1,scripted,Flight B Digital Use It
poetic,migration-challenge,use-it.js,Use It,build-derived-sentence-pool,Use It · root+suffix · Flight B · vocab:academic,combinations,root+suffix,B,academic,PROTECTED_REMOVAL_LEAVES_ONE_VIABLE_WORD,1,scripted,Flight B Digital Use It
portable,migration-challenge,use-it.js,Use It,build-derived-sentence-pool,Use It · root+suffix · Flight B · vocab:familiar,combinations,root+suffix,B,familiar,POOL_REMAINS_VIABLE_AFTER_PROTECTED_REMOVAL,5,active | artist | dangerous | movement | musical,Flight B Digital Use It
visible,migration-challenge,use-it.js,Use It,build-derived-sentence-pool,Use It · root+suffix · Flight B · vocab:familiar,combinations,root+suffix,B,familiar,POOL_REMAINS_VIABLE_AFTER_PROTECTED_REMOVAL,5,active | artist | dangerous | movement | musical,Flight B Digital Use It
audible,formal-pre-post,use-it.js,Use It,build-derived-sentence-pool,Use It · root+suffix · Flight C · vocab:academic,combinations,root+suffix,C,academic,POOL_REMAINS_VIABLE_AFTER_PROTECTED_REMOVAL,6,credible | dependence | existence | performance | persistence | sequence,Flight C Digital Use It
chronology,formal-pre-post,use-it.js,Use It,build-derived-sentence-pool,Use It · root+suffix · Flight C · vocab:academic,combinations,root+suffix,C,academic,POOL_REMAINS_VIABLE_AFTER_PROTECTED_REMOVAL,6,credible | dependence | existence | performance | persistence | sequence,Flight C Digital Use It
