word,sourceTypes,targetIds,targetLabels,canonicalTargetFlights,practiceBands,practiceFlights,accessibilityBands,vocabLevels,transparency,segmentation,protection,actualFixedOrAuthoredDestinations,dynamicEligibleDestinations,blockedDestinations,sourceOnlyButRuntimeFiltered,recommendedActivityUse,reviewCaution
descend,instructional-session-planner.js | master-word-inventory | script.js,de,de-,B,4-5,B,4-5,academic,medium,,,Flight B Digital Learn,Flight B Teacher-Led Find · Optional Practice Set || Flight B Teacher-Led Find · Retrieve || Flight B Teacher-Led Find · Word Part · Part A || Flight B Teacher-Led Meaning · Optional Practice Set || Flight B Teacher-Led Meaning · Retrieve || Flight B Teacher-Led Meaning · Word Part · Part A || Flight B Teacher-Led Word Hunt · Optional Practice Set || Flight B Teacher-Led Word Hunt · Retrieve || Flight B Teacher-Led Word Hunt · Word Part · Part A || Flight B Teacher-Led Word Part · Optional Practice Set || Flight B Teacher-Led Word Part · Retrieve || Flight B Teacher-Led Word Part · Word Part · Part A,,,Learn / Find / Meaning; Figure It Out with scaffolding; Build only if segmentation is clean,
describe,instructional-session-planner.js | master-word-inventory | script.js | word-inventory.js + instructional-word-selector.js,scrib,scrib/script,B,4-5,B,4-5,familiar,medium,,,Flight B Digital Break It Apart || Flight B Digital Learn,Flight B Teacher-Led Break It Apart · Optional Practice Set || Flight B Teacher-Led Break It Apart · Retrieve || Flight B Teacher-Led Break It Apart · Word Part · Part A || Flight B Teacher-Led Figure It Out · Optional Practice Set || Flight B Teacher-Led Figure It Out · Retrieve || Flight B Teacher-Led Figure It Out · Word Part · Part A || Flight B Teacher-Led Figure It Out · Word Part · Part B || Flight B Teacher-Led Find · Optional Practice Set || Flight B Teacher-Led Find · Retrieve || Flight B Teacher-Led Find · Word Part · Part A || Flight B Teacher-Led Find · Word Part · Part B || Flight B Teacher-Led Learn · Optional Practice Set || Flight B Teacher-Led Learn · Retrieve || Flight B Teacher-Led Learn · Word Part · Part A || Flight B Teacher-Led Learn · Word Part · Part B || Flight B Teacher-Led Meaning · Optional Practice Set || Flight B Teacher-Led Meaning · Retrieve || Flight B Teacher-Led Meaning · Word Part · Part A || Flight B Teacher-Led Meaning · Word Part · Part B || Flight B Teacher-Led Use It · Optional Practice Set || Flight B Teacher-Led Use It · Retrieve || Flight B Teacher-Led Use It · Word Part · Part A || Flight B Teacher-Led Use It · Word Part · Part B || Flight B Teacher-Led Word Hunt · Optional Practice Set || Flight B Teacher-Led Word Hunt · Retrieve || Flight B Teacher-Led Word Hunt · Word Part · Part A || Flight B Teacher-Led Word Part · Optional Practice Set || Flight B Teacher-Led Word Part · Retrieve || Flight B Teacher-Led Word Part · Word Part · Part A || Flight B Teacher-Led Word Part · Word Part · Part B,,,Learn / Find / Meaning; Figure It Out with scaffolding,"Guided semantic-bridge item: connect scrib/script = write to the historical relationship write down or represent, then to the modern meaning represent in words. Use context for the modern sense. Do not require a full segmentation unless the complete surface structure is separately validated."
destruction,instructional-session-planner.js | master-word-inventory | script.js,de | ion | struct,"de- | -ion, -tion, -sion | struct",A | B,4-5,B,4-5,academic,medium,de- + struct + -ion,,Flight B Digital Figure It Out,Flight A Teacher-Led Figure It Out · Optional Practice Set || Flight A Teacher-Led Figure It Out · Retrieve || Flight A Teacher-Led Figure It Out · Word Part · Part A || Flight A Teacher-Led Find · Optional Practice Set || Flight A Teacher-Led Find · Retrieve || Flight A Teacher-Led Find · Word Part · Part A || Flight A Teacher-Led Learn · Optional Practice Set || Flight A Teacher-Led Learn · Retrieve || Flight A Teacher-Led Learn · Word Part · Part A || Flight A Teacher-Led Meaning · Optional Practice Set || Flight A Teacher-Led Meaning · Retrieve || Flight A Teacher-Led Meaning · Word Part · Part A || Flight A Teacher-Led Use It · Optional Practice Set || Flight A Teacher-Led Use It · Retrieve || Flight A Teacher-Led Use It · Word Part · Part A || Flight A Teacher-Led Word Hunt · Optional Practice Set || Flight A Teacher-Led Word Hunt · Retrieve || Flight A Teacher-Led Word Hunt · Word Part · Part A || Flight A Teacher-Led Word Part · Optional Practice Set || Flight A Teacher-Led Word Part · Retrieve || Flight A Teacher-Led Word Part · Word Part · Part A || Flight B Teacher-Led Figure It Out · Optional Practice Set || Flight B Teacher-Led Figure It Out · Retrieve || Flight B Teacher-Led Figure It Out · Word Part · Part A || Flight B Teacher-Led Find · Optional Practice Set || Flight B Teacher-Led Find · Retrieve || Flight B Teacher-Led Find · Word Part · Part A || Flight B Teacher-Led Learn · Optional Practice Set || Flight B Teacher-Led Learn · Retrieve || Flight B Teacher-Led Learn · Word Part · Part A || Flight B Teacher-Led Meaning · Optional Practice Set || Flight B Teacher-Led Meaning · Retrieve || Flight B Teacher-Led Meaning · Word Part · Part A || Flight B Teacher-Led Use It · Optional Practice Set || Flight B Teacher-Led Use It · Retrieve || Flight B Teacher-Led Use It · Word Part · Part A || Flight B Teacher-Led Word Hunt · Optional Practice Set || Flight B Teacher-Led Word Hunt · Retrieve || Flight B Teacher-Led Word Hunt · Word Part · Part A || Flight B Teacher-Led Word Part · Optional Practice Set || Flight B Teacher-Led Word Part · Retrieve || Flight B Teacher-Led Word Part · Word Part · Part A,,,Learn / Find / Meaning; Figure It Out with scaffolding,
destructive,instructional-session-planner.js | master-word-inventory | script.js,de | ive | struct,de- | -ive | struct,B,4-5,B,4-5,academic,medium,de- + struct + -ive,,Flight B Digital Figure It Out,Flight B Teacher-Led Build Words · Optional Practice Set || Flight B Teacher-Led Build Words · Retrieve || Flight B Teacher-Led Build Words · Word Part · Part A || Flight B Teacher-Led Build Words · Word Part · Part B || Flight B Teacher-Led Figure It Out · Optional Practice Set || Flight B Teacher-Led Figure It Out · Retrieve || Flight B Teacher-Led Figure It Out · Word Part · Part A || Flight B Teacher-Led Find · Optional Practice Set || Flight B Teacher-Led Find · Retrieve || Flight B Teacher-Led Find · Word Part · Part A || Flight B Teacher-Led Learn · Optional Practice Set || Flight B Teacher-Led Learn · Retrieve || Flight B Teacher-Led Learn · Word Part · Part A || Flight B Teacher-Led Meaning · Optional Practice Set || Flight B Teacher-Led Meaning · Retrieve || Flight B Teacher-Led Meaning · Word Part · Part A || Flight B Teacher-Led Use It · Optional Practice Set || Flight B Teacher-Led Use It · Retrieve || Flight B Teacher-Led Use It · Word Part · Part A || Flight B Teacher-Led Word Hunt · Optional Practice Set || Flight B Teacher-Led Word Hunt · Retrieve || Flight B Teacher-Led Word Hunt · Word Part · Part A || Flight B Teacher-Led Word Part · Optional Practice Set || Flight B Teacher-Led Word Part · Retrieve || Flight B Teacher-Led Word Part · Word Part · Part A,,,Learn / Find / Meaning; Figure It Out with scaffolding; Build only if segmentation is clean,
detach,instructional-session-planner.js | master-word-inventory | script.js | word-inventory.js + instructional-word-selector.js,de,de-,B,4-5,B,4-5,familiar,medium,,,Flight B Digital Break It Apart || Flight B Digital Learn,Flight B Teacher-Led Break It Apart · Optional Practice Set || Flight B Teacher-Led Break It Apart · Retrieve || Flight B Teacher-Led Break It Apart · Word Part · Part A || Flight B Teacher-Led Figure It Out · Optional Practice Set || Flight B Teacher-Led Figure It Out · Retrieve || Flight B Teacher-Led Figure It Out · Word Part · Part A || Flight B Teacher-Led Figure It Out · Word Part · Part B || Flight B Teacher-Led Find · Optional Practice Set || Flight B Teacher-Led Find · Retrieve || Flight B Teacher-Led Find · Word Part · Part A || Flight B Teacher-Led Find · Word Part · Part B || Flight B Teacher-Led Learn · Optional Practice Set || Flight B Teacher-Led Learn · Retrieve || Flight B Teacher-Led Learn · Word Part · Part A || Flight B Teacher-Led Learn · Word Part · Part B || Flight B Teacher-Led Meaning · Optional Practice Set || Flight B Teacher-Led Meaning · Retrieve || Flight B Teacher-Led Meaning · Word Part · Part A || Flight B Teacher-Led Meaning · Word Part · Part B || Flight B Teacher-Led Use It · Optional Practice Set || Flight B Teacher-Led Use It · Retrieve || Flight B Teacher-Led Use It · Word Part · Part A || Flight B Teacher-Led Use It · Word Part · Part B || Flight B Teacher-Led Word Hunt · Optional Practice Set || Flight B Teacher-Led Word Hunt · Retrieve || Flight B Teacher-Led Word Hunt · Word Part · Part A || Flight B Teacher-Led Word Part · Optional Practice Set || Flight B Teacher-Led Word Part · Retrieve || Flight B Teacher-Led Word Part · Word Part · Part A || Flight B Teacher-Led Word Part · Word Part · Part B,,,Learn / Find / Meaning; Figure It Out with scaffolding; Build only if segmentation is clean,
detention,instructional-session-planner.js | master-word-inventory | script.js,ten,ten,C,6-8,C,6-8,academic,medium,,,Flight C Digital Figure It Out || Flight C Digital Learn,Flight C Teacher-Led Find · Optional Practice Set || Flight C Teacher-Led Find · Retrieve || Flight C Teacher-Led Find · Word Part · Part A || Flight C Teacher-Led Find · Word Part · Part B || Flight C Teacher-Led Meaning · Optional Practice Set || Flight C Teacher-Led Meaning · Retrieve || Flight C Teacher-Led Meaning · Word Part · Part A || Flight C Teacher-Led Meaning · Word Part · Part B || Flight C Teacher-Led Word Hunt · Optional Practice Set || Flight C Teacher-Led Word Hunt · Retrieve || Flight C Teacher-Led Word Hunt · Word Part · Part A || Flight C Teacher-Led Word Part · Optional Practice Set || Flight C Teacher-Led Word Part · Retrieve || Flight C Teacher-Led Word Part · Word Part · Part A || Flight C Teacher-Led Word Part · Word Part · Part B,,,Learn / Find / Meaning; Figure It Out with scaffolding; Build only if segmentation is clean,
detract,instructional-protection-registry.js | master-word-inventory | script.js | transfer-challenge-data.js,de | tract,de- | tract,B | C,6-8,C,6-8,academic,medium,de- + tract,migration-challenge,Migration Challenge · Flight C · Transfer Form A,,Flight C Digital Figure It Out || Ordinary Break It Apart || Ordinary Build Words || Ordinary Change It || Ordinary Figure It Out || Ordinary Find || Ordinary Learn || Ordinary Meaning || Ordinary Use It || Ordinary Word Hunt || Ordinary Word Part,Flight C Digital Figure It Out,Learn / Find / Meaning; Figure It Out with scaffolding,
development,instructional-session-planner.js | master-word-inventory | script.js,ment,-ment,A,4-5,B,4-5,academic,high,,,Flight A Digital Learn || Flight B Digital Word Hunt,Flight A Teacher-Led Find · Optional Practice Set || Flight A Teacher-Led Find · Retrieve || Flight A Teacher-Led Find · Word Part · Part A || Flight A Teacher-Led Meaning · Optional Practice Set || Flight A Teacher-Led Meaning · Retrieve || Flight A Teacher-Led Meaning · Word Part · Part A || Flight A Teacher-Led Word Hunt · Optional Practice Set || Flight A Teacher-Led Word Hunt · Retrieve || Flight A Teacher-Led Word Hunt · Word Part · Part A || Flight A Teacher-Led Word Part · Optional Practice Set || Flight A Teacher-Led Word Part · Retrieve || Flight A Teacher-Led Word Part · Word Part · Part A,,,Learn / Find / Meaning / Word Part / Figure It Out,
diameter,instructional-session-planner.js | master-word-inventory | script.js,metr,metr/meter,B,4-5,B,4-5,academic,medium,,,Flight B Digital Learn,Flight B Teacher-Led Find · Optional Practice Set || Flight B Teacher-Led Find · Retrieve || Flight B Teacher-Led Find · Word Part · Part A || Flight B Teacher-Led Meaning · Optional Practice Set || Flight B Teacher-Led Meaning · Retrieve || Flight B Teacher-Led Meaning · Word Part · Part A || Flight B Teacher-Led Word Hunt · Optional Practice Set || Flight B Teacher-Led Word Hunt · Retrieve || Flight B Teacher-Led Word Hunt · Word Part · Part A || Flight B Teacher-Led Word Part · Optional Practice Set || Flight B Teacher-Led Word Part · Retrieve || Flight B Teacher-Led Word Part · Word Part · Part A,,,Learn / Find / Meaning; Figure It Out with scaffolding; Build only if segmentation is clean,
dictate,instructional-check-transfer.js | instructional-protection-registry.js | master-word-inventory | script.js,dict,dict,B,4-5,B,4-5,academic,medium,dict + -ate,check-transfer,Check Transfer · Flight B,,Flight B Digital Figure It Out || Flight B Digital Find || Ordinary Break It Apart || Ordinary Build Words || Ordinary Change It || Ordinary Figure It Out || Ordinary Find || Ordinary Learn || Ordinary Meaning || Ordinary Use It || Ordinary Word Hunt || Ordinary Word Part,Flight B Digital Figure It Out || Flight B Digital Find,Learn / Find / Meaning; Figure It Out with scaffolding; Build only if segmentation is clean,"Contains dict, but -ate is not currently taught; recognition only unless -ate is added."
dictation,instructional-check-transfer.js | instructional-protection-registry.js,dict,dict,B,,,,,,,check-transfer,Check Transfer · Flight B,,Ordinary Break It Apart || Ordinary Build Words || Ordinary Change It || Ordinary Figure It Out || Ordinary Find || Ordinary Learn || Ordinary Meaning || Ordinary Use It || Ordinary Word Hunt || Ordinary Word Part,,,
dictionary,instructional-session-planner.js | master-word-inventory | script.js | word-inventory.js + instructional-word-selector.js,dict,dict,B,4-5,B,2-3,familiar,medium,,,Flight B Digital Break It Apart || Flight B Digital Learn,Flight B Teacher-Led Break It Apart · Optional Practice Set || Flight B Teacher-Led Break It Apart · Retrieve || Flight B Teacher-Led Break It Apart · Word Part · Part A || Flight B Teacher-Led Figure It Out · Optional Practice Set || Flight B Teacher-Led Figure It Out · Retrieve || Flight B Teacher-Led Figure It Out · Word Part · Part A || Flight B Teacher-Led Find · Optional Practice Set || Flight B Teacher-Led Find · Retrieve || Flight B Teacher-Led Find · Word Part · Part A || Flight B Teacher-Led Learn · Optional Practice Set || Flight B Teacher-Led Learn · Retrieve || Flight B Teacher-Led Learn · Word Part · Part A || Flight B Teacher-Led Meaning · Optional Practice Set || Flight B Teacher-Led Meaning · Retrieve || Flight B Teacher-Led Meaning · Word Part · Part A || Flight B Teacher-Led Use It · Optional Practice Set || Flight B Teacher-Led Use It · Retrieve || Flight B Teacher-Led Use It · Word Part · Part A || Flight B Teacher-Led Word Hunt · Optional Practice Set || Flight B Teacher-Led Word Hunt · Retrieve || Flight B Teacher-Led Word Hunt · Word Part · Part A || Flight B Teacher-Led Word Part · Optional Practice Set || Flight B Teacher-Led Word Part · Retrieve || Flight B Teacher-Led Word Part · Word Part · Part A,,,Learn / Find / Meaning; Figure It Out with scaffolding; Build only if segmentation is clean,
difference,instructional-session-planner.js | master-word-inventory,ence,-ence,C,6-8,C,4-5,academic,medium,,,,Flight C Teacher-Led Find · Optional Practice Set || Flight C Teacher-Led Find · Retrieve || Flight C Teacher-Led Find · Word Part · Part A || Flight C Teacher-Led Meaning · Optional Practice Set || Flight C Teacher-Led Meaning · Retrieve || Flight C Teacher-Led Meaning · Word Part · Part A || Flight C Teacher-Led Word Hunt · Optional Practice Set || Flight C Teacher-Led Word Hunt · Retrieve || Flight C Teacher-Led Word Hunt · Word Part · Part A || Flight C Teacher-Led Word Part · Optional Practice Set || Flight C Teacher-Led Word Part · Retrieve || Flight C Teacher-Led Word Part · Word Part · Part A,,,Learn / Find / Meaning; Figure It Out with scaffolding; Build only if segmentation is clean,"Suffix -ence is usable, but do not teach the whole word as a transparent dis/dif + fer + -ence build."
digitize,instructional-check-transfer.js | instructional-protection-registry.js,ize,-ize,B,,,,,,,check-transfer,Check Transfer · Flight B,,Ordinary Break It Apart || Ordinary Build Words || Ordinary Change It || Ordinary Figure It Out || Ordinary Find || Ordinary Learn || Ordinary Meaning || Ordinary Use It || Ordinary Word Hunt || Ordinary Word Part,,,
disagree,flight-a-assessment.js | instructional-protection-registry.js | master-word-inventory | script.js,dis,dis-,A,2-3,A,2-3,familiar,high,,formal-pre-post,Posttest A,,Flight A Digital Figure It Out || Flight A Digital Learn || Ordinary Break It Apart || Ordinary Build Words || Ordinary Change It || Ordinary Figure It Out || Ordinary Find || Ordinary Learn || Ordinary Meaning || Ordinary Use It || Ordinary Word Hunt || Ordinary Word Part,Flight A Digital Figure It Out || Flight A Digital Learn,Learn / Find / Meaning / Word Part / Figure It Out,
disapprove,instructional-session-planner.js | master-word-inventory | teacher-word-extension,dis,dis-,A,4-5,B,4-5,familiar,high,dis- + approve,,,Flight A Teacher-Led Build Words · Optional Practice Set || Flight A Teacher-Led Build Words · Retrieve || Flight A Teacher-Led Build Words · Word Part · Part A || Flight A Teacher-Led Figure It Out · Optional Practice Set || Flight A Teacher-Led Figure It Out · Retrieve || Flight A Teacher-Led Figure It Out · Word Part · Part A || Flight A Teacher-Led Find · Optional Practice Set || Flight A Teacher-Led Find · Retrieve || Flight A Teacher-Led Find · Word Part · Part A || Flight A Teacher-Led Learn · Optional Practice Set || Flight A Teacher-Led Learn · Retrieve || Flight A Teacher-Led Learn · Word Part · Part A || Flight A Teacher-Led Meaning · Optional Practice Set || Flight A Teacher-Led Meaning · Retrieve || Flight A Teacher-Led Meaning · Word Part · Part A || Flight A Teacher-Led Use It · Optional Practice Set || Flight A Teacher-Led Use It · Retrieve || Flight A Teacher-Led Use It · Word Part · Part A || Flight A Teacher-Led Word Hunt · Optional Practice Set || Flight A Teacher-Led Word Hunt · Retrieve || Flight A Teacher-Led Word Hunt · Word Part · Part A || Flight A Teacher-Led Word Part · Optional Practice Set || Flight A Teacher-Led Word Part · Retrieve || Flight A Teacher-Led Word Part · Word Part · Part A,,,,
disassemble,instructional-check-transfer.js | instructional-protection-registry.js,dis,dis-,A,,,,,,,check-transfer,Check Transfer · Flight A,,Ordinary Break It Apart || Ordinary Build Words || Ordinary Change It || Ordinary Figure It Out || Ordinary Find || Ordinary Learn || Ordinary Meaning || Ordinary Use It || Ordinary Word Hunt || Ordinary Word Part,,,
disconnect,instructional-session-planner.js | master-word-inventory | script.js | teacher-word-extension,dis,dis-,A,2-3 | 4-5,A | B,2-3,familiar,high,dis- + connect,,Flight A Digital Learn || Flight A Digital Word Hunt,Flight A Teacher-Led Build Words · Optional Practice Set || Flight A Teacher-Led Build Words · Retrieve || Flight A Teacher-Led Build Words · Word Part · Part A || Flight A Teacher-Led Build Words · Word Part · Part B || Flight A Teacher-Led Figure It Out · Optional Practice Set || Flight A Teacher-Led Figure It Out · Retrieve || Flight A Teacher-Led Figure It Out · Word Part · Part A || Flight A Teacher-Led Figure It Out · Word Part · Part B || Flight A Teacher-Led Find · Optional Practice Set || Flight A Teacher-Led Find · Retrieve || Flight A Teacher-Led Find · Word Part · Part A || Flight A Teacher-Led Find · Word Part · Part B || Flight A Teacher-Led Learn · Optional Practice Set || Flight A Teacher-Led Learn · Retrieve || Flight A Teacher-Led Learn · Word Part · Part A || Flight A Teacher-Led Learn · Word Part · Part B || Flight A Teacher-Led Meaning · Optional Practice Set || Flight A Teacher-Led Meaning · Retrieve || Flight A Teacher-Led Meaning · Word Part · Part A || Flight A Teacher-Led Meaning · Word Part · Part B || Flight A Teacher-Led Use It · Optional Practice Set || Flight A Teacher-Led Use It · Retrieve || Flight A Teacher-Led Use It · Word Part · Part A || Flight A Teacher-Led Use It · Word Part · Part B || Flight A Teacher-Led Word Hunt · Optional Practice Set || Flight A Teacher-Led Word Hunt · Retrieve || Flight A Teacher-Led Word Hunt · Word Part · Part A || Flight A Teacher-Led Word Part · Optional Practice Set || Flight A Teacher-Led Word Part · Retrieve || Flight A Teacher-Led Word Part · Word Part · Part A || Flight A Teacher-Led Word Part · Word Part · Part B,,,Learn / Find / Meaning / Word Part / Figure It Out,
dishonest,instructional-session-planner.js | master-word-inventory | teacher-word-extension,dis,dis-,A,4-5,B,4-5,familiar,high,dis- + honest,,,Flight A Teacher-Led Build Words · Optional Practice Set || Flight A Teacher-Led Build Words · Retrieve || Flight A Teacher-Led Build Words · Word Part · Part A || Flight A Teacher-Led Figure It Out · Optional Practice Set || Flight A Teacher-Led Figure It Out · Retrieve || Flight A Teacher-Led Figure It Out · Word Part · Part A || Flight A Teacher-Led Find · Optional Practice Set || Flight A Teacher-Led Find · Retrieve || Flight A Teacher-Led Find · Word Part · Part A || Flight A Teacher-Led Learn · Optional Practice Set || Flight A Teacher-Led Learn · Retrieve || Flight A Teacher-Led Learn · Word Part · Part A || Flight A Teacher-Led Meaning · Optional Practice Set || Flight A Teacher-Led Meaning · Retrieve || Flight A Teacher-Led Meaning · Word Part · Part A || Flight A Teacher-Led Use It · Optional Practice Set || Flight A Teacher-Led Use It · Retrieve || Flight A Teacher-Led Use It · Word Part · Part A || Flight A Teacher-Led Word Hunt · Optional Practice Set || Flight A Teacher-Led Word Hunt · Retrieve || Flight A Teacher-Led Word Hunt · Word Part · Part A || Flight A Teacher-Led Word Part · Optional Practice Set || Flight A Teacher-Led Word Part · Retrieve || Flight A Teacher-Led Word Part · Word Part · Part A,,,,
dismiss,instructional-session-planner.js | master-word-inventory,dis,dis-,A,4-5,B,4-5,academic,medium,,,,Flight A Teacher-Led Find · Optional Practice Set || Flight A Teacher-Led Find · Retrieve || Flight A Teacher-Led Find · Word Part · Part A || Flight A Teacher-Led Meaning · Optional Practice Set || Flight A Teacher-Led Meaning · Retrieve || Flight A Teacher-Led Meaning · Word Part · Part A || Flight A Teacher-Led Word Hunt · Optional Practice Set || Flight A Teacher-Led Word Hunt · Retrieve || Flight A Teacher-Led Word Hunt · Word Part · Part A || Flight A Teacher-Led Word Part · Optional Practice Set || Flight A Teacher-Led Word Part · Retrieve || Flight A Teacher-Led Word Part · Word Part · Part A,,,Learn / Find / Meaning; Figure It Out with scaffolding; Build only if segmentation is clean,"The modern meaning is not transparently “opposite of miss.” If retained, teach dis- = away/apart with historical mit/miss support; otherwise replace as a core dis- example."
disobey,instructional-session-planner.js | master-word-inventory | script.js | teacher-word-extension,dis,dis-,A,2-3 | 4-5,A | B,2-3,familiar,high,dis- + obey,,Flight A Digital Learn || Flight A Digital Word Hunt,Flight A Teacher-Led Build Words · Optional Practice Set || Flight A Teacher-Led Build Words · Retrieve || Flight A Teacher-Led Build Words · Word Part · Part A || Flight A Teacher-Led Build Words · Word Part · Part B || Flight A Teacher-Led Figure It Out · Optional Practice Set || Flight A Teacher-Led Figure It Out · Retrieve || Flight A Teacher-Led Figure It Out · Word Part · Part A || Flight A Teacher-Led Figure It Out · Word Part · Part B || Flight A Teacher-Led Find · Optional Practice Set || Flight A Teacher-Led Find · Retrieve || Flight A Teacher-Led Find · Word Part · Part A || Flight A Teacher-Led Find · Word Part · Part B || Flight A Teacher-Led Learn · Optional Practice Set || Flight A Teacher-Led Learn · Retrieve || Flight A Teacher-Led Learn · Word Part · Part A || Flight A Teacher-Led Learn · Word Part · Part B || Flight A Teacher-Led Meaning · Optional Practice Set || Flight A Teacher-Led Meaning · Retrieve || Flight A Teacher-Led Meaning · Word Part · Part A || Flight A Teacher-Led Meaning · Word Part · Part B || Flight A Teacher-Led Use It · Optional Practice Set || Flight A Teacher-Led Use It · Retrieve || Flight A Teacher-Led Use It · Word Part · Part A || Flight A Teacher-Led Use It · Word Part · Part B || Flight A Teacher-Led Word Hunt · Optional Practice Set || Flight A Teacher-Led Word Hunt · Retrieve || Flight A Teacher-Led Word Hunt · Word Part · Part A || Flight A Teacher-Led Word Part · Optional Practice Set || Flight A Teacher-Led Word Part · Retrieve || Flight A Teacher-Led Word Part · Word Part · Part A || Flight A Teacher-Led Word Part · Word Part · Part B,,,Learn / Find / Meaning / Word Part / Figure It Out,
dispute,instructional-session-planner.js | master-word-inventory | script.js,put,put,C,6-8,C,6-8,academic,low,,,Flight C Digital Learn || Flight C Digital Word Hunt,Flight C Teacher-Led Find · Optional Practice Set || Flight C Teacher-Led Find · Retrieve || Flight C Teacher-Led Find · Word Part · Part A || Flight C Teacher-Led Find · Word Part · Part B || Flight C Teacher-Led Word Hunt · Optional Practice Set || Flight C Teacher-Led Word Hunt · Retrieve || Flight C Teacher-Led Word Hunt · Word Part · Part A,,,Learn / recognition; avoid independent Figure It Out or Build,put = think/consider is not a strong clue to the modern meaning of dispute. Recognition/stretch only.
disrupt,flight-b-assessment.js | instructional-protection-registry.js | master-word-inventory | script.js,dis | rupt,dis- | rupt,A | B,4-5,B,4-5,academic,high,dis + rupt,formal-pre-post,Posttest B,,Flight B Digital Figure It Out || Flight B Digital Learn || Ordinary Break It Apart || Ordinary Build Words || Ordinary Change It || Ordinary Figure It Out || Ordinary Find || Ordinary Learn || Ordinary Meaning || Ordinary Use It || Ordinary Word Hunt || Ordinary Word Part,Flight B Digital Figure It Out || Flight B Digital Learn,Learn / Find / Meaning / Word Part / Figure It Out,
disrupted,instructional-session-planner.js | master-word-inventory,dis | ed | rupt,dis- | -ed | rupt,A | B,4-5,B,4-5,academic,medium,dis- + rupt + -ed,,,Flight A Teacher-Led Build Words · Optional Practice Set || Flight A Teacher-Led Build Words · Retrieve || Flight A Teacher-Led Build Words · Word Part · Part A || Flight A Teacher-Led Figure It Out · Optional Practice Set || Flight A Teacher-Led Figure It Out · Retrieve || Flight A Teacher-Led Figure It Out · Word Part · Part A || Flight A Teacher-Led Find · Optional Practice Set || Flight A Teacher-Led Find · Retrieve || Flight A Teacher-Led Find · Word Part · Part A || Flight A Teacher-Led Learn · Optional Practice Set || Flight A Teacher-Led Learn · Retrieve || Flight A Teacher-Led Learn · Word Part · Part A || Flight A Teacher-Led Meaning · Optional Practice Set || Flight A Teacher-Led Meaning · Retrieve || Flight A Teacher-Led Meaning · Word Part · Part A || Flight A Teacher-Led Use It · Optional Practice Set || Flight A Teacher-Led Use It · Retrieve || Flight A Teacher-Led Use It · Word Part · Part A || Flight A Teacher-Led Word Hunt · Optional Practice Set || Flight A Teacher-Led Word Hunt · Retrieve || Flight A Teacher-Led Word Hunt · Word Part · Part A || Flight A Teacher-Led Word Part · Optional Practice Set || Flight A Teacher-Led Word Part · Retrieve || Flight A Teacher-Led Word Part · Word Part · Part A || Flight B Teacher-Led Build Words · Optional Practice Set || Flight B Teacher-Led Build Words · Retrieve || Flight B Teacher-Led Build Words · Word Part · Part A || Flight B Teacher-Led Build Words · Word Part · Part B || Flight B Teacher-Led Figure It Out · Optional Practice Set || Flight B Teacher-Led Figure It Out · Retrieve || Flight B Teacher-Led Figure It Out · Word Part · Part A || Flight B Teacher-Led Figure It Out · Word Part · Part B || Flight B Teacher-Led Find · Optional Practice Set || Flight B Teacher-Led Find · Retrieve || Flight B Teacher-Led Find · Word Part · Part A || Flight B Teacher-Led Find · Word Part · Part B || Flight B Teacher-Led Learn · Optional Practice Set || Flight B Teacher-Led Learn · Retrieve || Flight B Teacher-Led Learn · Word Part · Part A || Flight B Teacher-Led Learn · Word Part · Part B || Flight B Teacher-Led Meaning · Optional Practice Set || Flight B Teacher-Led Meaning · Retrieve || Flight B Teacher-Led Meaning · Word Part · Part A || Flight B Teacher-Led Meaning · Word Part · Part B || Flight B Teacher-Led Use It · Optional Practice Set || Flight B Teacher-Led Use It · Retrieve || Flight B Teacher-Led Use It · Word Part · Part A || Flight B Teacher-Led Use It · Word Part · Part B || Flight B Teacher-Led Word Hunt · Optional Practice Set || Flight B Teacher-Led Word Hunt · Retrieve || Flight B Teacher-Led Word Hunt · Word Part · Part A || Flight B Teacher-Led Word Part · Optional Practice Set || Flight B Teacher-Led Word Part · Retrieve || Flight B Teacher-Led Word Part · Word Part · Part A || Flight B Teacher-Led Word Part · Word Part · Part B,,,Learn / Find / Meaning; Figure It Out with scaffolding; Build only if segmentation is clean,
